"","Number","Episode","Link.url","Link.title","BaseURL","Path","Sponsor","Host"
"1",18,"18: Aluminum-Colored Aluminum","http://hypercritical.co/2013/03/08/the-case-for-a-true-mac-pro-successor","John's halo-car post","hypercritical.co","/2013/03/08/the-case-for-a-true-mac-pro-successor",FALSE,TRUE
"2",18,"18: Aluminum-Colored Aluminum","http://mrgan.tumblr.com/post/53308781143/wrong","Neven Mrgan on iOS 7's icon grid","mrgan.tumblr.com","/post/53308781143/wrong",FALSE,FALSE
"3",18,"18: Aluminum-Colored Aluminum","https://medium.com/design-ux/3c4f01573adc","a rebuttal","medium.com","/design-ux/3c4f01573adc",FALSE,FALSE
"4",18,"18: Aluminum-Colored Aluminum","http://www.macrumors.com/2013/06/19/apples-new-mac-pro-begins-showing-up-in-benchmarks/","New Mac Pro appears in Geekbench","www.macrumors.com","/2013/06/19/apples-new-mac-pro-begins-showing-up-in-benchmarks/",FALSE,FALSE
"5",18,"18: Aluminum-Colored Aluminum","http://www.marco.org/2008/05/31/parallelize-shell-utility-to-execute-command-batches","parallelize.c","www.marco.org","/2008/05/31/parallelize-shell-utility-to-execute-command-batches",FALSE,TRUE
"6",18,"18: Aluminum-Colored Aluminum","http://matpalm.com/blog/2009/11/06/xargs-parallel-execution/","xargs parallel processing","matpalm.com","/blog/2009/11/06/xargs-parallel-execution/",FALSE,FALSE
"7",18,"18: Aluminum-Colored Aluminum","http://squarespace.com/atp","Squarespace","squarespace.com","/atp",TRUE,FALSE
"8",18,"18: Aluminum-Colored Aluminum","http://aneventapart.com/atpfm","An Event Apart","aneventapart.com","/atpfm",FALSE,FALSE
"9",19,"19: Designed by App in Cal","http://www.youtube.com/watch?v=VpZmIiIXuZ0","WWDC 2013 intro video","www.youtube.com","/watch",FALSE,FALSE
"10",19,"19: Designed by App in Cal","http://www.youtube.com/watch?v=8OXI5qtges0","Siri's WWDC 2012 intro","www.youtube.com","/watch",FALSE,FALSE
"11",19,"19: Designed by App in Cal","http://www.apple.com/ios/videos/","Making a Difference, One App at a Time","www.apple.com","/ios/videos/",FALSE,FALSE
"12",19,"19: Designed by App in Cal","http://www.youtube.com/watch?v=SH1jKZwcS9Y","""Jobs"" (Ashton Kutcher) trailer","www.youtube.com","/watch",FALSE,FALSE
"13",19,"19: Designed by App in Cal","http://en.wikipedia.org/wiki/The_Transporter_%28franchise%29","""The Transporter"" series","en.wikipedia.org","/wiki/The_Transporter_(franchise)",FALSE,FALSE
"14",19,"19: Designed by App in Cal","http://appleinsider.com/articles/13/06/17/inside-ios-7-calendar-app-comes-with-sterilized-ui-few-feature-changes","iOS 7 Calendar app UI","appleinsider.com","/articles/13/06/17/inside-ios-7-calendar-app-comes-with-sterilized-ui-few-feature-changes",FALSE,FALSE
"15",19,"19: Designed by App in Cal","http://audiblepodcast.com/atp","Audible","audiblepodcast.com","/atp",TRUE,FALSE
"16",19,"19: Designed by App in Cal","http://filetransporter.com/atp","Transporter","filetransporter.com","/atp",TRUE,FALSE
"17",20,"20: A Box and a Strap","http://www.reuters.com/article/2013/07/02/us-apple-hire-idUSBRE9611BP20130702","Apple's Yves Saint Laurent hire","www.reuters.com","/article/2013/07/02/us-apple-hire-idUSBRE9611BP20130702",FALSE,FALSE
"18",20,"20: A Box and a Strap","http://hypercritical.co/2013/04/07/technological-conservatism","Technological Conservatism","hypercritical.co","/2013/04/07/technological-conservatism",FALSE,TRUE
"19",20,"20: A Box and a Strap","http://www.panic.com/blog/2013/03/the-lightning-digital-av-adapter-surprise/","Panic's Lightning-to-HDMI-cable discovery","www.panic.com","/blog/2013/03/the-lightning-digital-av-adapter-surprise/",FALSE,FALSE
"20",20,"20: A Box and a Strap","http://codeintolight.tumblr.com/post/54345993747/clarity-i-decided-to-see-how-the-ios7-interface","Chris Harris on iOS 7 icons","codeintolight.tumblr.com","/post/54345993747/clarity-i-decided-to-see-how-the-ios7-interface",FALSE,FALSE
"21",20,"20: A Box and a Strap","http://www.glympse.com/","Glympse","www.glympse.com","/",FALSE,FALSE
"22",20,"20: A Box and a Strap","http://www.feedwrangler.net/","Feed Wrangler","www.feedwrangler.net","/",FALSE,FALSE
"23",20,"20: A Box and a Strap","http://reederapp.com","Reeder for iPhone","reederapp.com","",FALSE,FALSE
"24",20,"20: A Box and a Strap","http://www.macworld.com/article/2043053/bye-bye-google-reader-alternative-rss-solutions-for-mac-and-ios-users.html","Lex Friedman's RSS-sync roundup","www.macworld.com","/article/2043053/bye-bye-google-reader-alternative-rss-solutions-for-mac-and-ios-users.html",FALSE,FALSE
"25",20,"20: A Box and a Strap","http://readkitapp.com/","ReadKit for Mac","readkitapp.com","/",FALSE,FALSE
"26",20,"20: A Box and a Strap","http://netnewswireapp.com/","NetNewsWire","netnewswireapp.com","/",FALSE,FALSE
"27",20,"20: A Box and a Strap","http://www.leancrew.com/all-this/2012/10/last-post-on-subscriber-counting/","Dr. Drang's branch of Marco's RSS-subscriber-count script","www.leancrew.com","/all-this/2012/10/last-post-on-subscriber-counting/",FALSE,FALSE
"28",20,"20: A Box and a Strap","http://itunes.apple.com/us/app/optia/id347996243?mt=8","Optia","itunes.apple.com","/us/app/optia/id347996243",FALSE,FALSE
"29",20,"20: A Box and a Strap","http://hover.com/atp","Hover","hover.com","/atp",TRUE,FALSE
"30",21,"21: The Transitive Property of Nerdiness","https://alexeckermann.squarespace.com/blog/2013/7/10/an-accidental-article-talking-about-bluetooth-and-the-iwatch","Bluetooth Low Energy and iWatch","alexeckermann.squarespace.com","/blog/2013/7/10/an-accidental-article-talking-about-bluetooth-and-the-iwatch",TRUE,FALSE
"31",21,"21: The Transitive Property of Nerdiness","http://welander.tv/blog/2013/7/9/the-s-in-iwatch-is-for-siri","thoughts on Siri for iWatch","welander.tv","/blog/2013/7/9/the-s-in-iwatch-is-for-siri",FALSE,FALSE
